proc_gyro:3d:mean_z,discrete:time_of_day:between21and3,discrete:wifi_status:is_reachable_via_wifi,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_y,discrete:time_of_day:between15and21,raw_magnet:3d:mean_x,discrete:app_state:is_active,raw_acc:magnitude_stats:mean,discrete:time_of_day:between12and18,discrete:time_of_day:between18and24,proc_gyro:3d:mean_y,proc_gyro:3d:mean_x,watch_acceleration:3d:mean_x,discrete:time_of_day:between6and12,discrete:time_of_day:between3and9,discrete:battery_state:is_unplugged,audio_properties:max_abs_value,discrete:time_of_day:between0and6,watch_acceleration:magnitude_stats:mean,raw_acc:3d:mean_x,discrete:on_the_phone:is_True,watch_acceleration:3d:mean_z,proc_gyro:magnitude_stats:mean,discrete:battery_state:is_charging,discrete:app_state:is_inactive,lf_measurements:battery_level,location_quick_features:lat_change,location_quick_features:long_change,raw_acc:3d:mean_z,watch_acceleration:3d:mean_y,discrete:time_of_day:between9and15,raw_magnet:3d:mean_z,raw_acc:3d:mean_y,label_source
-0.0027700887853797963,0.0,1.0,490.4369414530047,-46.81435424040325,0.0,40.3844027618628,0.0,0.9899055525493958,1.0,0.0,-0.0014502842838018033,0.0012838804566662042,-199.68281044924163,0.0,0.0,0.0,-0.915221803795588,0.0,1032.038693005819,0.08590807407190766,0.0,57.98054801628223,0.0950051667731531,1.0,1.0,0.85,-0.0001058843828182872,-0.00014777839016267495,-0.5236840231658807,558.6136828238502,1.0,-484.55747591523584,-0.12469155608697016,2
-0.0027700887853797963,0.0,1.0,492.01183793569817,-31.112552389095846,0.0,27.88319807299553,0.0,0.9880363419133342,1.0,0.0,-0.00028838976165614246,0.00031547526661225187,-102.09662621601603,0.0,0.0,0.0,-0.9586385055808965,0.0,1024.4246846922042,0.08920371796968424,0.0,-48.141496512693806,0.04738832004301624,1.0,0.0,0.85,-5.63391550214958e-05,-8.219072516547576e-05,-0.8278385923013842,383.990122722621,1.0,-489.8730963078992,-0.11465088446228623,2
-0.0006433473007474203,0.0,1.0,492.08942497881,-27.097837835680796,0.0,25.675365787462294,0.0,0.9876172584646614,1.0,0.0,-0.00011094345448117658,0.00015507811049814314,-52.20139410719357,0.0,0.0,0.0,-1.0475788859353115,0.0,1020.1927866429392,0.09160459654591908,0.0,-101.33098834065339,0.022869449782650767,1.0,0.0,0.86,-1.922994551012747e-05,-7.602578215269277e-05,-0.9285544385716266,296.816921616946,1.0,-490.61614996905985,-0.10524737843074458,2
-0.00023943523597581964,0.0,1.0,511.4332435893337,-58.725942112975645,0.0,15.632244610119123,0.0,0.9875623947665358,1.0,0.0,-0.0004939974419344327,5.097391130857747e-05,-26.690260469224707,0.0,0.0,0.0,-0.7299396787107233,0.0,1017.8406797943887,0.08928026073729953,0.0,-127.99012455946328,0.017239215916758775,1.0,0.0,0.86,-1.90757491529875e-05,-8.60701690783754e-05,-0.961942735995261,253.29950056216262,1.0,-498.2656208764381,-0.10283945215507995,2
-0.003999228641557157,0.0,1.0,522.0639864772808,-69.08698756012618,0.0,-18.294468618048413,1.0,0.9844080435656463,1.0,0.0,0.0024628868569716647,0.002339470499470295,-16.29731173501679,0.0,0.0,0.0,-0.955280427792419,0.0,1006.6569782694324,0.014461574328091198,0.0,-559.1326609516643,0.10725653782281017,1.0,0.0,0.87,-9.193525183590801e-07,4.276641622957871e-05,-0.9290322890420233,116.52901578511151,1.0,-515.1206387169389,-0.2664344543561629,2
-0.002241890919491842,0.0,1.0,567.003423910761,-96.34217091119417,0.0,-70.08664081427011,1.0,0.9883657978933612,1.0,0.0,0.0008209879053959299,0.0008870962883604321,-10.154613883866572,0.0,0.0,0.0,-1.0365207250836483,0.0,1000.295674554221,0.00494252387341625,0.0,-775.0901923345664,0.03939563778494394,1.0,0.0,0.87,4.261412487229455e-05,2.1458179692232536e-05,-0.9701681934983628,49.19781093399607,1.0,-553.871131722823,-0.08596648012125335,2
-0.0007314002562972925,0.0,1.0,576.7295204630315,-96.34217091119417,0.0,-75.70350674615695,1.0,0.9899152975052012,1.0,0.0,0.00025346569046415354,0.00025738346223819816,-6.560370073793195,0.0,0.0,0.0,-1.1253629557449225,0.0,996.4329172669404,0.0011385783814852253,0.0,-882.9872254650625,0.015087452910900447,1.0,0.0,0.88,3.884941729719628e-05,4.261576206095325e-05,-0.9839250737263419,16.8035716640072,1.0,-562.2947490917179,-0.025152238787196697,2
-0.00028658359562452114,0.0,1.0,579.2729981315562,-104.4964438510925,0.0,-76.71540714895873,1.0,0.9903979833342016,1.0,0.0,0.00010860845770034903,9.571353842526125e-05,-4.839944155220486,0.0,0.0,0.0,-1.379034673894594,0.0,995.509173405438,0.00019246586165513565,0.0,-938.4150869481973,0.006652726535183924,1.0,0.0,0.88,2.0686150376118307e-06,1.805468745463701e-05,-0.9884167118703706,-0.9062782301862455,1.0,-564.4497590133066,-0.004619247412586458,2
-0.00013467375750760742,0.0,1.0,579.5955928013125,-104.92040717666185,0.0,-76.75115062563614,1.0,0.9905934158403188,1.0,0.0,7.556350293615207e-05,0.0002039587117402431,20.013660040957966,0.0,0.0,0.0,-0.891976417568155,0.0,998.0209741372745,0.000603949751935394,0.0,-953.7543145144346,0.0037835752553867937,1.0,0.0,0.89,-2.6141664802718856e-05,1.063943817289697e-05,-0.9899327072181574,5.148455569611472,1.0,-564.8056385675176,0.0004107253367232168,2
-8.14923115244019e-05,0.0,1.0,579.5296206913716,-104.95908749911109,0.0,-76.7181772122792,1.0,0.9906371583238842,1.0,0.0,-0.00016727783948110208,-5.9479000745068426e-05,30.49005360637095,0.0,0.0,0.0,-1.1709563994100562,0.0,996.1415089371595,0.0009683916642118577,0.0,-964.2862622707271,0.0033109804584198475,1.0,0.0,0.89,-1.9058662847839035e-06,2.966309999790468e-05,-0.9904115427239973,-12.215955374654477,1.0,-564.751731150086,0.0014172694761982489,2
-4.111429230052374e-05,0.0,1.0,578.3720795706924,-103.59077986351136,0.0,-77.68135767322981,1.0,0.9904636412541796,1.0,0.0,6.071868060342588e-05,3.2886581021172414e-05,66.87573120048285,0.0,0.0,0.0,-1.1280986451446018,0.0,1027.568799692631,-0.000733109574071837,0.0,-943.8012700852734,0.002439911446525849,1.0,0.0,0.9,-2.7450947134734035e-05,-4.320630199062906e-06,-0.9903762706415314,-136.32570173796802,1.0,-563.6777706147847,0.0034464629959540293,2
-0.00013982653821099358,0.0,1.0,578.3722287783444,-103.50526076189878,0.0,-77.15602023561142,0.0,0.9902784636433498,1.0,0.0,0.00028272248063557605,8.632228254594338e-05,33.419050946147046,0.0,0.0,0.0,-0.6491909519584893,0.0,1012.629924498202,-9.365324824334707e-05,0.0,-968.6164076451821,0.002439911446525849,1.0,0.0,0.9,2.2474206121933353e-05,1.8700918757141693e-05,-0.9902418283810969,-80.6666502862178,1.0,-563.7791127209026,0.0017065017684750766,2
3.961251476668231e-05,0.0,1.0,588.1495289340119,-99.57413998897754,0.0,-93.46193665317088,1.0,0.9899506735116054,1.0,0.0,3.5778548682067644e-05,0.00013746636896370734,19.964461621604467,0.0,0.0,0.0,-0.36343163384465665,0.0,1004.3990682149748,0.0008892170421963927,0.0,-980.7986370321833,0.002439911446525849,1.0,0.0,0.91,2.0388796477185876e-06,-9.941949568431588e-06,-0.9899230747166305,-51.39894582973651,1.0,-571.0617884071996,0.003202055912314393,2
4.05386474243245e-05,0.0,1.0,607.3734683458334,-99.45109427131355,0.0,-133.74638624495162,1.0,0.9903030499520161,1.0,0.0,5.3911175034822315e-05,5.71152240772455e-05,12.780258069521478,0.0,0.0,0.0,-0.7484417514495242,0.0,999.7776975561105,0.0007055331678558421,0.0,-987.2396858159228,0.002305627280231152,1.0,0.0,0.91,5.365696880334658e-06,4.105464900116817e-06,-0.9902774724850404,-35.017513941414535,1.0,-583.804521624687,0.004408186870948131,2
-0.001515072828243295,0.0,1.0,611.6003701660421,-95.68601123167677,0.0,-139.87856162890273,0.0,0.9902710022098997,1.0,0.0,8.674499454936758e-06,-8.436576558875657e-05,10.483213827785796,0.0,0.0,0.0,-0.4349735382237894,0.0,996.9069813311055,-0.0015360009299228224,0.0,-971.4501647491605,0.004097218403345962,1.0,0.0,0.92,3.1087352293014537e-06,-1.3405525857824732e-05,-0.9902503031888689,5.92412153538055,1.0,-587.6893787320531,0.004188940744617565,2
0.004926255252382073,0.0,1.0,557.2270825698081,-59.80226321111173,0.0,-47.301443675400165,1.0,0.9930455843018303,1.0,0.0,0.0013244691206938282,-0.005187343676608084,-114.8069323215419,0.0,0.0,0.0,-0.27464522995793617,0.0,1009.7604973096434,0.010327294348446056,0.0,-540.0042200874609,0.2855432725275683,1.0,0.0,0.92,-2.177555925967538e-05,-2.401047953496952e-06,-0.9595044272970501,374.61831511425174,1.0,-548.4183021110816,-0.02466914338523482,2
0.061626698939297286,0.0,1.0,488.72015089874435,-62.086601368008544,0.0,-12.9759649421648,0.0,1.001751784463969,1.0,0.0,-0.027295489034260847,-0.004245309544054431,-205.32753115734587,0.0,0.0,1.0,-0.13082325608135154,0.0,1025.5024353631743,-0.12302634527595392,0.0,-154.80899528648519,1.0597453447177536,0.0,0.0,0.92,3.55589262880907e-06,0.0001333652712318591,-0.6177330983254645,619.1526609594898,1.0,-480.9334310101219,-0.017314152577878952,-1
0.12284642193913996,0.0,1.0,474.70180943121505,-71.27349721028897,0.0,-6.801890339609956,1.0,1.001751784463969,1.0,0.0,0.04013569278357562,-0.001266278231255239,-219.66052936244267,0.0,0.0,1.0,-0.5859465147622955,0.0,1030.1103253120841,-0.024434961521009047,0.0,-37.162031842260106,0.8610258410210729,0.0,0.0,0.92,-9.606239286126461e-05,-0.0002478820671992404,-0.797630794679955,796.104739074652,1.0,-467.40810678784743,-0.2748219698172429,-1
0.04059534017193027,0.0,1.0,471.7950927037201,-82.09908364641602,0.0,-6.385157758093671,1.0,0.9877254534329886,1.0,0.0,0.013114262464000583,-0.0006851350956378524,-366.9621185050941,0.0,0.0,1.0,-1.2841574357831855,0.0,1028.29540523286,0.06581348350991065,0.0,37.97262905168749,0.3755451594166334,0.0,0.0,0.92,-4.237432860520431e-05,-0.00010441452443203338,-0.8179982621933385,836.0596844767103,1.0,-463.974396130239,-0.4355134316755839,2
0.011973137607010537,0.0,1.0,458.14004188139376,-37.48542901861391,0.0,-18.58025564390508,0.0,1.0053081422733376,1.0,0.0,0.004711042594126698,0.001920259503001103,-153.9478288161718,0.0,0.0,1.0,-2.0835420225678147,0.0,1017.9835305431862,0.0026764063033481444,0.0,-369.5127011946052,0.13641001881088607,0.0,0.0,0.92,7.936678420899699e-07,-1.0227447166112266e-05,-0.29745170012770894,550.2168790389915,1.0,-455.46358534683105,0.5282259020360217,2
0.00387372087790039,0.0,1.0,455.6952739656705,-28.143587739670583,0.0,-22.521911451343417,0.0,1.010968220458827,1.0,0.0,-0.0026269123852884838,0.001771345272189302,-237.60069305203638,0.0,0.0,1.0,-2.154597131738154,0.0,1048.6231486642932,-0.04321863039059196,0.0,-42.80528343731277,0.11407428822402657,0.0,0.0,0.92,-1.7502816402245513e-06,-4.708650552511273e-06,-0.12074752691973428,386.06431378000195,1.0,-454.0730558326597,0.8488242753459515,2
